id,word,part_of_speech,difficulty_score,meaning_1,meaning_2,meaning_3
3108,repudiate,verb,2400,拒否する,拒絶する,
3109,reject,verb,2000,拒絶する,却下する,
3110,rebuff,verb,2100,拒絶する,はねつける,
3111,spurn,verb,1400,はねつける,拒絶する,
3112,refuse,verb,2000,拒否する,断る,
3113,prohibit,verb,2100,禁止する,妨げる,
3114,forbid,verb,1500,禁じる,妨げる,
3115,ban,verb,800,禁止する,追放する,
3116,bar,verb,700,禁止する,閉ざす,
3117,exclude,verb,1800,除外する,締め出す,
3118,expel,verb,1300,追放する,放出する,
3119,eject,verb,1300,追い出す,放出する,
3120,oust,verb,1100,追放する,失脚させる,
3121,evict,verb,1300,立ち退かせる,追い出す,
3122,banish,verb,1600,追放する,払いのける,
3123,deport,verb,1600,国外追放する,強制送還する,
3124,extradite,verb,2400,引き渡す,送還する,
3125,repatriate,verb,2700,本国に送還する,帰国させる,
3126,immigrate,verb,2400,移住する,入国する,
3127,emigrate,verb,2100,移住する,国外に移る,
3128,migrate,verb,1900,移住する,移動する,
3129,relocate,verb,2100,移転する,転勤する,
3130,transplant,verb,2700,移植する,移住させる,
3131,uproot,verb,1700,根こそぎにする,引き抜く,
3132,displace,verb,2100,移動させる,取って代わる,
3133,supplant,verb,2200,取って代わる,追い出す,
3134,supersede,verb,2400,取って代わる,無効にする,
3135,replace,verb,2000,取り替える,代わりになる,
3136,alternate,verb,2300,交互にする,代わる,
3137,rotate,verb,1800,回転する,交代する,
3138,revolve,verb,2000,回転する,巡る,
3139,spin,verb,900,回転する,紡ぐ,
3140,twirl,verb,1200,くるくる回す,回転させる,
3141,whirl,verb,1200,ぐるぐる回る,旋回する,
3142,swirl,verb,1200,渦を巻く,渦巻く,
3143,eddy,verb,1000,渦を巻く,渦巻く,
3144,circulate,verb,2300,循環する,流通する,
3145,encircle,verb,2100,取り囲む,囲む,
3146,surround,verb,2000,囲む,取り囲む,
3147,encompass,verb,2400,囲む,包含する,
3148,enclose,verb,1800,囲む,同封する,
3149,engulf,verb,1700,飲み込む,包み込む,
3150,dive,verb,900,飛び込む,潜水する,
3151,descend,verb,1800,降りる,下る,
3152,sink,verb,800,沈む,沈める,
3153,subside,verb,2100,沈下する,治まる,
3154,wane,verb,1200,衰える,欠ける,
3155,dwindle,verb,1900,減少する,縮小する,
3156,constrict,verb,2400,収縮させる,締めつける,
3157,compact,verb,1800,圧縮する,固める,
3158,abbreviate,verb,2700,短縮する,省略する,
3159,abridge,verb,1900,要約する,短縮する,
3160,curtail,verb,1900,削減する,短縮する,
3161,truncate,verb,2100,切り詰める,短縮する,
3162,shorten,verb,1900,短くする,縮める,
3163,clip,verb,900,切る,はさむ,
3164,trim,verb,900,刈り込む,整える,
3165,prune,verb,1200,剪定する,削除する,
3166,mow,verb,700,刈る,草を刈る,
3167,sow,verb,700,種をまく,まき散らす,
3168,graft,verb,1200,接ぎ木する,移植する,
3169,bud,verb,700,芽が出る,つぼみをつける,
3170,boom,verb,1100,急成長する,とどろく,
3171,burgeon,verb,1900,急成長する,芽を出す,
3172,proliferate,verb,2900,急増する,増殖する,
3173,escalate,verb,2200,エスカレートする,拡大する,
3174,heighten,verb,2100,高める,増大する,
3175,augment,verb,2000,増大させる,増やす,
3176,inflate,verb,2100,膨張させる,誇張する,
3177,swell,verb,1200,膨らむ,増大する,
3178,dilate,verb,1900,拡張する,広げる,
3179,widen,verb,1800,広げる,広くなる,
3180,broaden,verb,1800,広げる,広くなる,
3181,lengthen,verb,2000,長くする,延長する,
3182,prolong,verb,1900,延長する,長引かせる,
3183,protract,verb,2100,長引かせる,延長する,
3184,stretch,verb,1700,伸ばす,引き伸ばす,
3185,strain,verb,1500,引っ張る,緊張させる,
3186,exert,verb,1300,発揮する,尽力する,
3187,flex,verb,900,曲げる,力を入れる,
3188,arch,verb,900,弓形にする,反らす,
3189,buckle,verb,1400,曲がる,バックルで留める,
3190,deform,verb,1700,変形させる,ゆがめる,
3191,contort,verb,1900,ねじ曲げる,ゆがめる,
3192,wrangle,verb,1900,口論する,言い争う,
3193,bicker,verb,1600,口論する,言い争う,
3194,squabble,verb,2100,口論する,けんかする,
3195,brawl,verb,1200,けんかする,乱闘する,
3196,scuffle,verb,1800,もみ合う,乱闘する,
3197,tussle,verb,1600,取っ組み合う,争う,
3198,wrestle,verb,1700,レスリングをする,格闘する,
3199,grapple,verb,1800,取り組む,格闘する,
3200,jostle,verb,1600,押し合う,押しのける,
3201,ram,verb,700,激突する,詰め込む,
3202,slam,verb,900,激しく閉める,叩きつける,
3203,smash,verb,1100,粉砕する,ぶつける,
3204,shatter,verb,1700,粉砕する,打ち砕く,
3205,crush,verb,1200,押しつぶす,圧倒する,
3206,squash,verb,1500,押しつぶす,鎮圧する,
3207,mash,verb,900,すりつぶす,押しつぶす,
3208,grind,verb,1100,ひく,すりつぶす,
3209,pulverize,verb,2400,粉砕する,粉々にする,
3210,fragment,verb,2100,断片化する,ばらばらになる,
3211,splinter,verb,2100,砕ける,分裂する,
3212,fracture,verb,2100,骨折する,ひびが入る,
3213,rupture,verb,1900,破裂する,決裂する,
3214,burst,verb,1100,破裂する,爆発する,
3215,explode,verb,1700,爆発する,激増する,
3216,detonate,verb,2100,爆発させる,起爆する,
3217,combust,verb,1800,燃える,発火する,
3218,burn,verb,800,燃える,焼く,
3219,flare,verb,1200,燃え上がる,急に起こる,
3220,flicker,verb,1800,ちらちら光る,揺らめく,
3221,glimmer,verb,1800,かすかに光る,ちらちら光る,
3222,gleam,verb,1200,光る,輝く,
3223,glisten,verb,1900,きらきら光る,輝く,
3224,shimmer,verb,1800,ゆらめく,きらめく,
3225,twinkle,verb,1700,きらきら光る,またたく,
3226,glint,verb,1200,きらりと光る,ぴかっと光る,
3227,blink,verb,1100,まばたきする,点滅する,
3228,wink,verb,900,ウインクする,またたく,
3229,squint,verb,1500,目を細める,斜視である,
3230,peer,verb,900,じっと見る,のぞき込む,
3231,gaze,verb,900,じっと見る,見つめる,
3232,stare,verb,1100,じっと見る,凝視する,
3233,glare,verb,1200,にらむ,ぎらぎら光る,
3234,glower,verb,1600,にらむ,怒った顔をする,
3235,scowl,verb,1200,しかめっ面をする,にらむ,
3236,frown,verb,1100,眉をひそめる,しかめっ面をする,
3237,grimace,verb,1700,顔をしかめる,しかめっ面をする,
3238,smirk,verb,1200,にやにや笑う,薄笑いする,
3239,grin,verb,900,にっこり笑う,歯を見せて笑う,
3240,giggle,verb,1400,くすくす笑う,くすくす笑い,
3241,chuckle,verb,1700,くすくす笑う,ほくそ笑む,
3242,snicker,verb,1700,くすくす笑う,忍び笑いする,
3243,titter,verb,1600,くすくす笑う,忍び笑いする,
3244,snigger,verb,1800,くすくす笑う,薄笑いする,
3245,cackle,verb,1600,甲高く笑う,けたたましく笑う,
3246,chortle,verb,1800,声を出して笑う,高笑いする,
3247,guffaw,verb,1600,大笑いする,どっと笑う,
3248,wail,verb,900,泣き叫ぶ,嘆く,
3249,whimper,verb,1800,めそめそ泣く,すすり泣く,
3250,whine,verb,1200,泣き言を言う,めそめそ言う,
3251,sob,verb,700,すすり泣く,むせび泣く,
3252,weep,verb,900,泣く,涙を流す,
3253,sigh,verb,900,ため息をつく,,
3254,groan,verb,1100,うめく,うなる,
3255,moan,verb,900,うめく,不平を言う,
3256,grunt,verb,1100,うなる,ぶつぶつ言う,
3257,hiss,verb,900,しーっと言う,ヒューと音を立てる,
3258,shush,verb,1100,静かにさせる,しーっと言う,
3259,hush,verb,900,黙らせる,静まる,
3260,silence,verb,1800,黙らせる,静かにさせる,
3261,mute,verb,900,消音する,沈黙させる,
3262,muffle,verb,1600,包む,消音する,
3263,dampen,verb,1800,湿らせる,弱める,
3264,moisten,verb,1800,湿らせる,潤す,
3265,drip,verb,900,したたる,しずくが落ちる,
3266,trickle,verb,1700,したたる,ちょろちょろ流れる,
3267,dribble,verb,1700,したたる,よだれを垂らす,
3268,ooze,verb,900,にじみ出る,しみ出る,
3269,seep,verb,900,しみ出る,漏れる,
3270,leak,verb,900,漏れる,漏らす,
3271,gush,verb,900,噴出する,ほとばしる,
3272,spout,verb,1200,噴出する,噴き出す,
3273,spurt,verb,1200,噴出する,ほとばしる,
3274,squirt,verb,1500,噴出する,吹き出す,
3275,erupt,verb,1300,噴火する,爆発する,
3276,belch,verb,1100,げっぷをする,噴出する,
3277,vomit,verb,1100,吐く,嘔吐する,
3278,regurgitate,verb,2900,吐き出す,逆流させる,
3279,spew,verb,1000,噴き出す,吐く,
3280,emit,verb,1000,放出する,発する,
3281,radiate,verb,1900,放射する,発散する,
3282,emanate,verb,2000,発する,生じる,
3283,exude,verb,1400,にじみ出る,発散する,
3284,secrete,verb,1800,分泌する,隠す,
3285,excrete,verb,1800,排泄する,分泌する,
3286,perspire,verb,2100,汗をかく,発汗する,
3287,sweat,verb,1100,汗をかく,汗を出す,
3288,pant,verb,900,あえぐ,息を切らす,
3289,gasp,verb,900,あえぐ,息を呑む,
3290,wheeze,verb,1600,ぜいぜい息をする,あえぐ,
3291,snore,verb,1100,いびきをかく,,
3292,snort,verb,1100,鼻を鳴らす,鼻であしらう,
3293,sniff,verb,1100,鼻で嗅ぐ,くんくんかぐ,
3294,inhale,verb,2000,吸い込む,息を吸う,
3295,exhale,verb,1600,吐き出す,息を吐く,
3296,breathe,verb,1600,呼吸する,息をする,
3297,respire,verb,2100,呼吸する,,
3298,puff,verb,900,吹く,ふくらませる,
3299,suck,verb,800,吸う,しゃぶる,
3300,slurp,verb,1100,音を立てて飲む,すする,
3301,sip,verb,700,すする,少しずつ飲む,
3302,gulp,verb,900,ごくごく飲む,一気に飲む,
3303,guzzle,verb,1600,がぶ飲みする,ごくごく飲む,
3304,swallow,verb,1700,飲み込む,のみ込む,
3305,devour,verb,1700,むさぼり食う,食べ尽くす,
3306,gobble,verb,1600,がつがつ食べる,むさぼり食う,
3307,gorge,verb,1300,むさぼり食う,満腹になるまで食べる,
3308,stuff,verb,1100,詰め込む,腹いっぱい食べる,
3309,cram,verb,900,詰め込む,ぎゅうぎゅう詰めにする,
3310,jam,verb,700,詰め込む,動かなくする,
3311,wedge,verb,1200,くさびを打ち込む,押し込む,
3312,insert,verb,2000,挿入する,差し込む,
3313,imbue,verb,2100,染み込ませる,吹き込む,
3314,steep,verb,1200,浸す,急な,
3315,disseminate,verb,2900,広める,普及させる,
3316,propagate,verb,2400,繁殖させる,普及させる,
3317,broadcast,verb,2200,放送する,まき散らす,
3318,impart,verb,2100,伝える,与える,
3319,endow,verb,1400,寄付する,授ける,
3320,bequeath,verb,2100,遺贈する,伝える,
3321,inherit,verb,2000,相続する,受け継ぐ,
3322,accede,verb,1700,就任する,同意する,
3323,ascend,verb,1700,上る,昇る,
3324,mount,verb,1200,登る,取り付ける,
3325,soar,verb,1100,舞い上がる,急上昇する,
3326,surge,verb,1300,急上昇する,殺到する,
3327,skyrocket,verb,2500,急騰する,急上昇する,
3328,rocket,verb,1600,急上昇する,急増する,
3329,loom,verb,1000,ぼんやり見える,迫る,
3330,hover,verb,1200,空中に停止する,うろつく,
3331,waft,verb,1000,漂う,ふわふわ動く,
3332,flutter,verb,1800,はためく,羽ばたく,
3333,flap,verb,900,羽ばたく,パタパタする,
3334,flail,verb,1200,振り回す,ばたばた動く,
3335,brandish,verb,2100,振り回す,振りかざす,
3336,wield,verb,1300,振るう,行使する,
3337,navigate,verb,2100,航行する,操縦する,
3338,steer,verb,1200,操縦する,導く,
3339,pilot,verb,1200,操縦する,案内する,
3340,helm,verb,1100,かじを取る,指揮する,
3341,orchestrate,verb,2900,画策する,編曲する,
3342,choreograph,verb,2900,振り付けする,計画する,
3343,calibrate,verb,2500,調整する,較正する,
3344,fine-tune,verb,2900,微調整する,調整する,
3345,tweak,verb,1200,微調整する,つまむ,
3346,tinker,verb,1600,いじくる,修理する,
3347,fiddle,verb,1600,いじくる,バイオリンを弾く,
3348,tamper,verb,1600,いじくる,不正に変える,
3349,meddle,verb,1600,干渉する,おせっかいする,
3350,encroach,verb,2100,侵害する,侵食する,
3351,infringe,verb,2100,侵害する,違反する,
3352,violate,verb,1900,違反する,侵害する,
3353,transgress,verb,2700,違反する,罪を犯す,
3354,trespass,verb,2100,不法侵入する,違反する,
3355,breach,verb,1600,破る,違反する,
3356,contravene,verb,2700,違反する,反する,
3357,flout,verb,1400,無視する,あざ笑う,
3358,disobey,verb,2000,従わない,背く,
3359,rebel,verb,2000,反逆する,反抗する,
3360,rampage,verb,1800,暴れ回る,激怒する,
3361,fume,verb,1000,激怒する,煙を出す,
3362,seethe,verb,1600,煮えたぎる,激怒する,
3363,simmer,verb,1500,ぐつぐつ煮る,くすぶる,
3364,boil,verb,900,沸騰する,煮る,
3365,brew,verb,1000,醸造する,たくらむ,
3366,ferment,verb,1900,発酵する,騒動を引き起こす,
3367,stew,verb,1000,煮込む,くよくよする,
3368,roast,verb,1100,焼く,あぶる,
3369,grill,verb,1100,焼く,厳しく尋問する,
3370,broil,verb,1200,直火で焼く,焼く,
3371,fry,verb,700,揚げる,焼く,
3372,saute,verb,1100,炒める,ソテーする,
3373,bake,verb,900,焼く,オーブンで焼く,
3374,scorch,verb,1500,焦がす,焼ける,
3375,singe,verb,1300,焦がす,表面を焼く,
3376,char,verb,900,焦がす,炭にする,
3377,sear,verb,1000,焼き焦がす,焼きつける,
3378,scald,verb,1200,やけどさせる,熱湯をかける,
3379,blanch,verb,1600,ゆがく,青ざめる,
3380,poach,verb,1200,密猟する,ゆでる,
3381,marinate,verb,2100,マリネにする,漬ける,
3382,pickle,verb,1500,漬ける,ピクルスにする,
3383,seal,verb,900,密封する,封印する,
3384,cork,verb,900,コルク栓をする,,
3385,plug,verb,900,ふさぐ,宣伝する,
3386,clog,verb,900,詰まらせる,ふさぐ,
3387,gag,verb,700,口をふさぐ,吐き気を催す,
3388,muzzle,verb,1600,口輪をはめる,言論を封じる,
3389,censor,verb,1600,検閲する,削除する,
3390,quash,verb,1300,鎮圧する,無効にする,
3391,quell,verb,1300,鎮める,抑える,
3392,subdue,verb,2100,征服する,抑える,
3393,tame,verb,1000,飼いならす,従順にする,
3394,domesticate,verb,2900,飼いならす,家畜化する,
3395,civilize,verb,2100,文明化する,洗練させる,
3396,till,verb,900,耕す,,
3397,plow,verb,900,耕す,突き進む,
3398,furrow,verb,1500,畝を作る,しわを寄せる,
3399,hoe,verb,700,くわで耕す,,
3400,rake,verb,900,熊手でかく,かき集める,
3401,shovel,verb,1500,シャベルで掘る,かき込む,
3402,scoop,verb,1100,すくう,大きく報道する,
3403,ladle,verb,1200,ひしゃくですくう,,
3404,whisk,verb,1100,泡立てる,さっと動かす,
3405,mix,verb,700,混ぜる,交わる,
3406,knead,verb,1100,こねる,マッサージする,
3407,massage,verb,1700,マッサージする,もみほぐす,
3408,rub,verb,700,こする,もむ,
3409,scrub,verb,1100,ごしごし洗う,こする,
3410,scour,verb,1200,磨く,捜し回る,
3411,buff,verb,900,磨く,バフをかける,
3412,wax,verb,700,ワックスをかける,大きくなる,
3413,varnish,verb,1800,ニスを塗る,うわべを飾る,
3414,lacquer,verb,1800,ラッカーを塗る,,
3415,glaze,verb,1200,つやを出す,ガラスをはめる,
3416,paint,verb,1100,塗る,絵を描く,
3417,comb,verb,900,くしでとく,くまなく捜す,
3418,groom,verb,1100,身だしなみを整える,手入れする,
3419,primp,verb,1200,めかし込む,身づくろいする,
3420,preen,verb,1900,羽繕いする,着飾る,
3421,adorn,verb,1200,飾る,装飾する,
3422,decorate,verb,2000,装飾する,飾る,
3423,embellish,verb,2400,装飾する,美化する,
3424,ornament,verb,2100,飾る,装飾する,
3425,garnish,verb,1800,飾る,添える,
3426,bedeck,verb,1700,飾り立てる,,
3427,festoon,verb,1800,花飾りで飾る,,
3428,drape,verb,1100,覆う,垂らす,
3429,hang,verb,800,掛ける,吊るす,
3430,suspend,verb,1700,つるす,停止する,
3431,dangle,verb,1600,ぶら下がる,ちらつかせる,
3432,tilt,verb,900,傾ける,傾く,
3433,lean,verb,800,もたれる,傾く,
3434,slant,verb,1100,傾く,偏る,
3435,slope,verb,1100,傾斜する,斜面,
3436,incline,verb,2000,傾斜する,傾向がある,
3437,recline,verb,2100,もたれかかる,横になる,
3438,sprawl,verb,1600,手足を投げ出す,無秩序に広がる,
3439,lounge,verb,1500,くつろぐ,ぶらぶらする,
3440,loll,verb,1000,だらりと垂れる,だらだら過ごす,
3441,slouch,verb,1500,前かがみになる,だらしなく座る,
3442,slump,verb,1200,どさりと座る,暴落する,
3443,topple,verb,1600,倒れる,倒す,
3444,overturn,verb,2100,ひっくり返る,覆す,
3445,upset,verb,1200,ひっくり返す,動揺させる,
3446,capsize,verb,1900,転覆する,転覆させる,
3447,flip,verb,900,ひっくり返す,はじく,
3448,flop,verb,1000,ばたんと倒れる,失敗する,
3449,plop,verb,1000,どさっと落ちる,ぽちゃんと落とす,
3450,plunk,verb,1200,どさっと置く,ぽろんと鳴らす,
3451,dump,verb,900,投げ捨てる,捨てる,
3452,discard,verb,2000,捨てる,破棄する,
3453,dispose,verb,2000,処分する,配置する,
3454,jettison,verb,2100,投げ捨てる,放棄する,
3455,scrap,verb,1200,廃棄する,取りやめる,
3456,junk,verb,900,捨てる,廃棄する,
3457,trash,verb,1100,捨てる,めちゃくちゃにする,
3458,litter,verb,1600,散らかす,ごみを捨てる,
3459,clutter,verb,1800,散らかす,乱雑にする,
3460,tangle,verb,1500,もつれさせる,からませる,
3461,entangle,verb,2100,からませる,巻き込む,
3462,ensnare,verb,1900,わなにかける,陥れる,
3463,entrap,verb,1700,わなにかける,陥れる,
3464,ambush,verb,1600,待ち伏せする,,
3465,waylay,verb,1700,待ち伏せする,引き止める,
3466,accost,verb,1700,声をかける,呼び止める,
3467,bump,verb,900,ぶつかる,衝突する,
3468,collide,verb,1800,衝突する,対立する,
3469,bash,verb,900,強打する,激しく非難する,
3470,batter,verb,1600,打ちのめす,連打する,
3471,pummel,verb,1600,打ちのめす,なぐる,
3472,wallop,verb,1600,強打する,打ち負かす,
3473,thump,verb,1200,ドンと打つ,ドキドキする,
3474,whack,verb,1200,強くたたく,,
3475,slap,verb,900,平手打ちする,ぴしゃりと打つ,
3476,smack,verb,1100,ぴしゃりと打つ,チュッとキスする,
3477,spank,verb,1100,たたく,お尻をたたく,
3478,cuff,verb,900,平手で打つ,手錠をかける,
3479,swat,verb,900,ピシャリと打つ,たたき殺す,
3480,bat,verb,700,バットで打つ,まばたきする,
3481,clout,verb,1200,強打する,たたく,
3482,clobber,verb,1800,たたきのめす,打ち負かす,
3483,thrash,verb,1600,打ちのめす,激しく動く,
3484,flog,verb,1000,むち打つ,,
3485,whip,verb,900,むち打つ,泡立てる,
3486,lash,verb,900,むち打つ,縛りつける,
3487,scourge,verb,1800,むち打つ,苦しめる,
3488,flagellate,verb,2700,むち打つ,,
3489,castigate,verb,2500,厳しく非難する,懲らしめる,
3490,chastise,verb,2200,懲らしめる,罰する,
3491,rebuke,verb,2100,叱責する,非難する,
3492,reprimand,verb,2400,叱責する,懲戒する,
3493,scold,verb,1200,叱る,しかりつける,
3494,admonish,verb,2100,訓戒する,忠告する,
3495,reproach,verb,2100,非難する,責める,
3496,upbraid,verb,1900,厳しく叱る,非難する,
3497,berate,verb,1900,激しく叱る,叱責する,
3498,chide,verb,1200,叱る,たしなめる,
3499,censure,verb,1800,非難する,問責する,
3500,condemn,verb,1800,非難する,有罪と宣告する,
3501,denounce,verb,2100,公然と非難する,告発する,
3502,decry,verb,1400,非難する,けなす,
3503,disparage,verb,2400,軽視する,けなす,
3504,belittle,verb,2100,軽視する,見くびる,
3505,denigrate,verb,2500,中傷する,けなす,
3506,vilify,verb,1900,中傷する,悪口を言う,
3507,defame,verb,1700,中傷する,名誉を傷つける,
3508,slander,verb,1800,中傷する,誹謗する,
3509,libel,verb,1300,文書で中傷する,,
3510,malign,verb,1600,中傷する,悪口を言う,
3511,besmirch,verb,2100,汚す,傷つける,
3512,blacken,verb,1900,黒くする,汚す,
3513,desecrate,verb,2500,冒涜する,神聖を汚す,
3514,profane,verb,1900,冒涜する,神聖を汚す,
3515,blaspheme,verb,2500,冒涜する,神を汚す,
3516,curse,verb,1200,呪う,悪態をつく,
3517,damn,verb,900,呪う,のろう,
3518,execrate,verb,2100,呪う,忌み嫌う,
3519,abhor,verb,1400,忌み嫌う,嫌悪する,
3520,detest,verb,1600,大嫌いである,忌み嫌う,
3521,loathe,verb,1600,大嫌いである,ひどく嫌う,
3522,abominate,verb,2500,ひどく嫌う,憎む,
3523,sorrow,verb,1500,悲しむ,悲嘆する,
3524,anguish,verb,1900,苦しむ,悩む,
3525,agonize,verb,2000,苦悶する,悩む,
3526,fidget,verb,1600,そわそわする,もじもじする,
3527,jitter,verb,1600,そわそわする,震える,
3528,pulsate,verb,2000,脈打つ,律動する,
3529,throb,verb,1300,ドキドキする,脈打つ,
3530,palpitate,verb,2500,動悸がする,ドキドキする,
3531,patter,verb,1600,パタパタ音がする,早口で話す,
3532,pitter-patter,verb,2800,パタパタ音がする,,
3533,tiptoe,verb,1500,つま先で歩く,こっそり歩く,
3534,sneak,verb,1200,こっそり行く,忍び込む,
3535,slink,verb,1300,こそこそ行く,忍び歩く,
3536,skulk,verb,1300,こそこそ隠れる,潜む,
3537,lurk,verb,1100,潜む,待ち伏せる,
3538,prowl,verb,1200,うろつく,徘徊する,
3539,loiter,verb,1600,ぶらつく,うろつく,
3540,linger,verb,1600,ぐずぐずする,居残る,
3541,tarry,verb,1300,ぐずぐずする,滞在する,
3542,dawdle,verb,1600,ぐずぐずする,のろのろ歩く,
3543,dally,verb,1300,ぐずぐずする,いちゃつく,
3544,procrastinate,verb,3000,先延ばしする,ぐずぐずする,
3545,postpone,verb,2000,延期する,後回しにする,
3546,defer,verb,1400,延期する,従う,
3547,adjourn,verb,1800,休会する,延期する,
3548,halt,verb,900,停止する,立ち止まる,
3549,cease,verb,1300,やめる,終わる,
3550,discontinue,verb,2900,中止する,やめる,
3551,terminate,verb,2400,終わらせる,解雇する,
3552,finalize,verb,2200,完成させる,最終決定する,
3553,consummate,verb,2700,完成させる,成就させる,
3554,materialize,verb,2900,実現する,現れる,
3555,actualize,verb,2500,実現する,現実化する,
3556,manifest,verb,2100,明らかにする,現す,
3557,exemplify,verb,2500,例証する,典型である,
3558,typify,verb,2000,典型的に示す,代表する,
3559,epitomize,verb,2500,典型である,要約する,
3560,embody,verb,1700,具体化する,体現する,
3561,personify,verb,2500,擬人化する,典型である,
3562,denote,verb,1600,示す,意味する,
3563,connote,verb,1900,暗示する,含意する,
3564,imply,verb,2000,暗示する,意味する,
3565,intimate,verb,2100,ほのめかす,暗示する,
3566,insinuate,verb,2500,ほのめかす,それとなく言う,
3567,allude,verb,1700,ほのめかす,言及する,
3568,paraphrase,verb,2700,言い換える,意訳する,
3569,rephrase,verb,2100,言い換える,言い直す,
3570,reword,verb,2100,言い換える,書き換える,
3571,reformulate,verb,2900,作り直す,言い換える,
3572,revise,verb,2000,改訂する,修正する,
3573,amend,verb,1400,修正する,改める,
3574,rectify,verb,2100,訂正する,是正する,
3575,redress,verb,2100,是正する,救済する,
3576,patch,verb,1100,つぎを当てる,修繕する,
3577,darn,verb,1000,繕う,かがる,
3578,stitch,verb,1400,縫う,縫合する,
3579,sew,verb,700,縫う,,
3580,hem,verb,700,縁を縫う,取り囲む,
3581,baste,verb,1200,しつけ縫いする,油を塗る,
3582,embroider,verb,2400,刺繍する,誇張する,
3583,weave,verb,1200,織る,編む,
3584,knit,verb,900,編む,結合する,
3585,crochet,verb,1800,かぎ針で編む,,
3586,ravel,verb,1300,ほどける,もつれる,
3587,unravel,verb,2100,ほどく,解明する,
3588,disentangle,verb,2900,もつれを解く,解放する,
3589,untangle,verb,2100,もつれを解く,解決する,
3590,unwind,verb,2100,ほどく,くつろぐ,
3591,unfold,verb,2000,広げる,展開する,
3592,unfurl,verb,2100,広げる,展開する,
3593,uncurl,verb,2100,伸ばす,まっすぐにする,
3594,straighten,verb,2200,まっすぐにする,正す,
3595,deploy,verb,1600,配備する,展開する,
3596,post,verb,900,配置する,掲示する,
3597,situate,verb,1900,位置させる,置く,
3598,locate,verb,1800,位置を定める,見つける,
3599,pinpoint,verb,2100,正確に示す,特定する,
3600,discern,verb,2100,識別する,見分ける,
3601,quarantine,verb,2700,隔離する,検疫する,
3602,seclude,verb,1900,隔離する,引きこもらせる,
3603,sequester,verb,2500,隔離する,差し押さえる,
3604,imprison,verb,2100,投獄する,閉じ込める,
3605,incarcerate,verb,2900,投獄する,監禁する,
3606,detain,verb,1600,拘留する,引き止める,
3607,curb,verb,1100,抑制する,制限する,
3608,bridle,verb,1600,抑制する,くつわをつける,
3609,rein,verb,1100,手綱で制御する,抑制する,
3610,fetter,verb,1600,束縛する,足かせをはめる,
3611,shackle,verb,1800,足かせをはめる,束縛する,
3612,manacle,verb,1800,手錠をかける,拘束する,
3613,handcuff,verb,2100,手錠をかける,,
3614,tether,verb,1500,つなぐ,縛る,
3615,leash,verb,1200,鎖でつなぐ,抑制する,
3616,yoke,verb,1000,くびきをかける,結びつける,
3617,saddle,verb,1400,鞍を置く,負わせる,
3618,dismount,verb,2100,降りる,取り外す,
3619,alight,verb,1600,降りる,止まる,
3620,disembark,verb,2500,下船する,上陸する,
3621,enplane,verb,1900,飛行機に乗る,,
3622,entrain,verb,1900,列車に乗る,引き起こす,
3623,ferry,verb,1200,渡す,運ぶ,
3624,shuttle,verb,1800,往復させる,シャトルで運ぶ,
3625,commute,verb,1700,通勤する,減刑する,
3626,cruise,verb,1900,巡航する,巡遊する,
3627,sail,verb,900,航海する,帆走する,
3628,paddle,verb,1400,パドルでこぐ,水遊びする,
3629,oar,verb,700,オールでこぐ,,
3630,scull,verb,1200,スカルで漕ぐ,,
3631,punt,verb,1000,竿で船を進める,賭ける,
3632,canoe,verb,1200,カヌーをこぐ,,
3633,kayak,verb,1200,カヤックをこぐ,,
3634,raft,verb,900,いかだで行く,,
3635,surf,verb,1000,サーフィンする,ネットサーフィンする,
3636,ski,verb,700,スキーをする,,
3637,skate,verb,1000,スケートをする,,
3638,sled,verb,900,そりに乗る,,
3639,toboggan,verb,2100,そりで滑る,急落する,
3640,freewheel,verb,2500,惰性で進む,気ままに行動する,
3641,somersault,verb,2700,宙返りする,,
3642,cartwheel,verb,2500,側転する,,
3643,leap,verb,900,跳ぶ,跳躍する,
3644,bound,verb,1200,跳ねる,境界を定める,
3645,hop,verb,700,片足で跳ぶ,ホップする,
3646,skip,verb,900,スキップする,飛ばす,
3647,bounce,verb,1400,はずむ,弾む,
3648,rebound,verb,2100,跳ね返る,回復する,
3649,ricochet,verb,2100,跳ね返る,跳弾する,
3650,carom,verb,1300,はね返る,玉突きする,
3651,deflect,verb,1800,そらす,逸らす,
3652,divert,verb,1600,そらす,転用する,
3653,veer,verb,1000,方向を変える,針路を変える,
3654,swerve,verb,1600,急に向きを変える,それる,
3655,skid,verb,1000,横滑りする,滑る,
3656,brake,verb,1100,ブレーキをかける,制動する,
3657,decelerate,verb,2700,減速する,,
3658,rev,verb,700,エンジンを吹かす,回転数を上げる,
3659,idle,verb,900,アイドリングする,怠ける,
3660,dock,verb,900,ドックに入れる,係留する,
3661,moor,verb,1000,係留する,停泊する,
3662,anchor,verb,1400,錨を下ろす,固定する,
3663,berth,verb,1200,停泊する,寝台,
3664,schlep,verb,1600,引きずる,運ぶ,
3665,cart,verb,900,運ぶ,運搬する,
3666,wheelbarrow,verb,2900,手押し車で運ぶ,,
3667,dispatch,verb,2100,派遣する,急送する,
3668,forward,verb,1700,転送する,促進する,
3669,reroute,verb,2100,迂回させる,経路変更する,
3670,detour,verb,1500,迂回する,回り道する,
3671,bypass,verb,1600,迂回する,バイパスする,
